,Incident Zip,light_counts
0,11201,948
1,11203,578
2,11204,1083
3,11205,391
4,11206,649
5,11207,1237
6,11208,1068
7,11209,958
8,11210,437
9,11211,669
10,11212,728
11,11213,646
12,11214,929
13,11215,979
14,11216,520
15,11217,480
16,11218,628
17,11219,913
18,11220,1090
19,11221,827
20,11222,555
21,11223,536
22,11224,406
23,11225,490
24,11226,521
25,11228,498
26,11229,742
27,11230,524
28,11231,604
29,11232,381
30,11233,746
31,11234,845
32,11235,823
33,11236,539
34,11237,412
35,11238,560
36,11239,95
37,11241,1
38,11243,1
39,11249,199
40,11251,1
